url,title,sku,brand,category,price,discount,availability,specifications,images,scraped_at
https://kontakt.az/asus-h510m-d-intel-lga-1200,Asus H510M-D INTEL LGA 1200,SKU:TM-DG-KOT-1114-MB-0031,,,169.99,20,In Stock,"{""Brend"": ""Asus"", ""Növ"": ""ATX"", ""Wi-Fii"": ""Yox"", ""RAM yuvalarının sayı"": ""2"", ""Maksimum RAM həcmi"": ""64 GB"", ""SATA konnektorlarının ümumi sayı"": ""4"", ""M.2 yuvaların ümumi sayı"": ""1"", ""PCI-E x16 yuvalarının sayı"": ""1"", ""PCI-E x1 yuvalarının sayı"": ""1"", ""Arxa paneldəki USB konnektorlarının sayı"": ""6"", ""Cıxışlar (arxa panel)"": ""-"", ""Dəstəklənən prosessorlar"": ""Intel 11th Gen Core/10th Gen Core/Pentium/Celeron"", ""Çıxışlar (arxa panel)"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/_/d/_d0_9d_d0_be_d0_b2_d1_8b_d0_b9-_d0_bf_d1_80_d0_be_d0_b5_d0_ba_d1_82-19_png_1_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/_/d/_d0_9d_d0_be_d0_b2_d1_8b_d0_b9-_d0_bf_d1_80_d0_be_d0_b5_d0_ba_d1_82-1-11_png_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/_/d/_d0_9d_d0_be_d0_b2_d1_8b_d0_b9-_d0_bf_d1_80_d0_be_d0_b5_d0_ba_d1_82-3-8_png_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/_/d/_d0_9d_d0_be_d0_b2_d1_8b_d0_b9-_d0_bf_d1_80_d0_be_d0_b5_d0_ba_d1_82-2-9_png_3.png,2025-10-31 22:13:37
https://kontakt.az/asus-prime-z690-a-intel-lga-1700,Asus Prime  Z690-A Intel LGA 1700,SKU:TM-DG-KOT-1114-MB-0046,,,609.99,80,In Stock,"{""Brend"": ""Asus"", ""Növ"": ""ATX"", ""Wi-Fii"": ""Yox"", ""RAM yuvalarının sayı"": ""4"", ""Maksimum RAM həcmi"": ""192 GB"", ""SATA konnektorlarının ümumi sayı"": ""4"", ""M.2 yuvaların ümumi sayı"": ""4"", ""PCI-E x16 yuvalarının sayı"": ""1"", ""PCI-E x1 yuvalarının sayı"": ""2"", ""Arxa paneldəki USB konnektorlarının sayı"": ""8"", ""Cıxışlar (arxa panel)"": ""-"", ""Dəstəklənən prosessorlar"": ""Intel 13th/12th Gen Core/Pentium Gold/Celeron"", ""Çıxışlar (arxa panel)"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t123649.911.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t123704.016.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t123747.201.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t123633.993.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t123803.319.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t123735.352.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t123718.842.png,2025-10-31 22:15:31
https://kontakt.az/asus-prime-z690-p-d4-intel-lga-1700,Asus Prime Z690-P D4 Intel LGA 1700,SKU:TM-DG-KOT-1114-MB-0049,,,449.99,50,In Stock,"{""Brend"": ""Asus"", ""Növ"": ""ATX"", ""Wi-Fii"": ""Yox"", ""RAM yuvalarının sayı"": ""4"", ""Maksimum RAM həcmi"": ""128 GB"", ""SATA konnektorlarının ümumi sayı"": ""4"", ""M.2 yuvaların ümumi sayı"": ""3"", ""PCI-E x16 yuvalarının sayı"": ""3"", ""PCI-E x1 yuvalarının sayı"": ""1"", ""Arxa paneldəki USB konnektorlarının sayı"": ""6"", ""Cıxışlar (arxa panel)"": ""-"", ""Dəstəklənən prosessorlar"": ""Intel 13th/12th Gen Core/Pentium Gold/Celeron"", ""Çıxışlar (arxa panel)"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121359.793.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121418.158.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121436.020.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121554.223.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121510.455.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121454.181.png,2025-10-31 22:15:43
https://kontakt.az/asus-prime-z690-p-intel-lga-1700,Asus Prime Z690-P Intel LGA 1700,SKU:TM-DG-KOT-1114-MB-0048,,,579.99,60,In Stock,"{""Brend"": ""Asus"", ""Növ"": ""ATX"", ""Wi-Fii"": ""Yox"", ""RAM yuvalarının sayı"": ""4"", ""Maksimum RAM həcmi"": ""128 GB"", ""SATA konnektorlarının ümumi sayı"": ""4"", ""M.2 yuvaların ümumi sayı"": ""3"", ""PCI-E x16 yuvalarının sayı"": ""3"", ""PCI-E x1 yuvalarının sayı"": ""1"", ""Arxa paneldəki USB konnektorlarının sayı"": ""6"", ""Cıxışlar (arxa panel)"": ""-"", ""Dəstəklənən prosessorlar"": ""Intel 13th/12th Gen Core/Pentium Gold/Celeron"", ""Çıxışlar (arxa panel)"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121510.455_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121418.158_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121554.223_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121359.793_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121436.020_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-05-03t121454.181_1.png,2025-10-31 22:15:56
https://kontakt.az/asus-prime-z690-p-wi-fi-intel-lga-1700,Asus Prime Z690-P Wi-Fi Intel LGA 1700,SKU:TM-DG-KOT-1114-MB-0050,,,599.99,70,In Stock,"{""Brend"": ""Asus"", ""Növ"": ""ATX"", ""Wi-Fii"": ""Var"", ""RAM yuvalarının sayı"": ""4"", ""Maksimum RAM həcmi"": ""128 GB"", ""SATA konnektorlarının ümumi sayı"": ""4"", ""M.2 yuvaların ümumi sayı"": ""3"", ""PCI-E x16 yuvalarının sayı"": ""4"", ""PCI-E x1 yuvalarının sayı"": ""1"", ""Arxa paneldəki USB konnektorlarının sayı"": ""6"", ""Cıxışlar (arxa panel)"": ""-"", ""Dəstəklənən prosessorlar"": ""Intel 13th/12th Gen Core/Pentium Gold/Celeron"", ""Çıxışlar (arxa panel)"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t181344.188.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-07t164506.739.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t181413.139.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t181257.748.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t181327.230.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t181400.043.png,2025-10-31 22:16:09
https://kontakt.az/asus-rog-9-12-256-gb-black,Asus ROG 9 12/256 GB Phantom Black,SKU:TM-DG-SBP-1105-SM-3213,,,2299.99,400,In Stock,"{""Brend"": ""Asus"", ""Daxili yaddaş"": ""256 GB"", ""Operativ yaddaş"": ""12 GB"", ""Əsas kamera"": ""50 MP + 13 MP + 5 MP"", ""Ön kamera"": ""32 MP"", ""Nüvə sayı"": ""8"", ""SIM-kart növü"": ""Nano SIM + eSIM"", ""SIM-kart sayı"": ""2"", ""Prosessorun adı"": ""Qualcomm"", ""Əməliyyat sistemi"": ""Android"", ""Əməliyyat sistemin versiyası"": ""Android 15"", ""NFC"": ""Var"", ""Prosessorun növü"": ""Qualcomm Snapdragon 8 Elite Mobile"", ""Displey növü"": ""LTPO AMOLED"", ""Simsiz enerji"": ""Var"", ""İnfraqırmızı port"": ""Yox"", ""Üz tanıma"": ""Var"", ""Sürətli enerji yığma"": ""Var"", ""Qorunma dərəcəsi"": ""IP68"", ""Görüntü imkanı"": ""2400 × 1080"", ""Ölçülər"": ""163.8 × 77 × 8.9 mm"", ""Yaddaş kartı dəstəyi"": ""Yox"", ""Barometr"": ""Yox"", ""Giroskop"": ""Var"", ""İşıq sensoru"": ""Var"", ""Yaxınlaşdırma sensoru"": ""Var"", ""Optik sabitləşmə"": ""Var"", ""Video formatı"": ""8K / 4K / 1080p / 720p"", ""Bluetooth versiyası"": ""5.4"", ""Avtofokus əsas kamera"": ""Var"", ""Video icazəsi və kadr tezliyi"": ""8K - 720p, 30-480 kadr/s"", ""Video asta çəkiliş"": ""Var"", ""Rəng"": ""Phantom Black"", ""Enerji toplama növü"": ""USB Type-C"", ""Qulaqlıq interfeysi"": ""USB Type-C"", ""Batareya növü"": ""Li-Po"", ""Çıxarıla bilən batareya"": ""Yox"", ""Akselerometr"": ""Var"", ""Enerji yığma gücü"": ""65 Vt"", ""Batareyanın həcmi"": ""5800 mAh"", ""İstehsal ili"": ""2024"", ""Barmaq izi oxuyucusu"": ""Displeydə"", ""Korpusun materiali"": ""Alüminium və şüşə"", ""Komplektasiya"": ""Smartfon, Şarj cihazı, USB Type-C kabeli, SIM kart yuvası açarı, Məlumat kitabçası, Qoruyucu örtük"", ""Seriya"": ""Asus ROG 9"", ""Zəmanət"": ""12 ay"", ""Şəbəkə standartı"": ""5G"", ""Ekran"": ""6.78\""""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-sbp-1105-sm-3213_3.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-sbp-1105-sm-3213_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-sbp-1105-sm-3213_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-sbp-1105-sm-3213_1.png,2025-10-31 22:17:09
https://kontakt.az/asus-rog-pbt-keycap-set-ac03-90mp0280-baua00,Keykap dəsti Asus ROG PBT AC03 / 90MP0280-BAUA00,SKU:TM-DG-ACS-1109-KC-0005,,,59.99,10,In Stock,"{""Brend"": ""-"", ""Dil"": ""ENG, RU, UA"", ""Keykap sayı"": ""108 əd"", ""Material"": ""PBT"", ""Keykap profili"": ""OEM, Puddings"", ""Divarların eni"": ""1.5 mm"", ""Düzülüş"": ""ANSI"", ""Bərkidilmə üsulu"": ""MX"", ""Stabilizatorlarla uyğunluq"": ""OEM"", ""Rəng"": ""Qara"", ""Xüsusiyyətlər"": ""Keykap dəsti ANSI düzülüşü və MX bərkidilmə növü olan bütün növ klaviaturalarla uyğundur"", ""İstehsal texnologiyası"": ""Double shot""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-kc-0005_4.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-kc-0005_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-kc-0005_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-kc-0005_3.png,2025-10-31 22:18:38
https://kontakt.az/asus-rog-strix-ga15-g15dk-r5800x2080-90pf02q1-m010m0,Asus ROG Strix GA15 G15DK-R5800X2080 (90PF02Q1-M010M0),SKU:TM-DG-KOT-1114-PC-0092,,,5089.99,290,In Stock,"{""Brend"": ""Asus"", ""Model"": ""ROG Strix GA15"", ""Videokartın həcmi"": ""8 GB"", ""Wi-Fii"": ""Var"", ""HDMI"": ""1x HDMI 2.0"", ""Rəng"": ""Qara"", ""Ölçülər (H × E × D)"": ""-"", ""Operativ yaddaşın maksimal həcmi"": ""32 GB"", ""Qidalandırıcı blok"": ""-"", ""DisplayPort"": ""1x DisplayPort 1.4"", ""USB (arxa tərəf)"": ""-"", ""USB (ön tərəf)"": ""1х USB 3.2 Gen 1 Type-C, 1х 3.2 Gen 1 Type-A"", ""Növ"": ""Oyun"", ""Prosessori"": ""Ryzen 7"", ""Prosessorun kodu"": ""5800X"", ""Prosessorun takt tezliyi"": ""-"", ""Operativ yaddaş"": ""32 GB"", ""HDD"": ""-"", ""SSD"": ""1 TB"", ""Videokartın növü"": ""Xarici Nvidia"", ""Videokartın cipseti"": ""-"", ""Əməliyyat sistemi"": ""-"", ""Zəmanət"": ""12 ay""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/5/4/543_png.png,2025-10-31 22:20:16
https://kontakt.az/asus-tuf-gaming-b660m-plus-wi-fi-intel-lga-1700,Asus TUF Gaming B660M-PLUS Wi-Fi Intel LGA 1700,SKU:TM-DG-KOT-1114-MB-0054,,,499.99,60,In Stock,"{""Brend"": ""Asus"", ""Növ"": ""microATX"", ""Wi-Fii"": ""Var"", ""RAM yuvalarının sayı"": ""4"", ""Maksimum RAM həcmi"": ""128 GB"", ""SATA konnektorlarının ümumi sayı"": ""4"", ""M.2 yuvaların ümumi sayı"": ""2"", ""PCI-E x16 yuvalarının sayı"": ""2"", ""PCI-E x1 yuvalarının sayı"": ""1"", ""Arxa paneldəki USB konnektorlarının sayı"": ""8"", ""Cıxışlar (arxa panel)"": ""-"", ""Dəstəklənən prosessorlar"": ""Intel 12th Gen Core/Pentium Gold/Celeron"", ""Çıxışlar (arxa panel)"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-07t113443.839.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-07t113459.355.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-07t113612.731.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-07t113528.834.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-07t113541.157.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-07t113512.165.png,2025-10-31 22:23:03
https://kontakt.az/asus-tuf-gaming-z690-plus-d4-intel-lga-1700,Asus TUF Gaming Z690-Plus D4 Intel LGA 1700,SKU:TM-DG-KOT-1114-MB-0058,,,649.99,80,In Stock,"{""Brend"": ""Asus"", ""Növ"": ""ATX"", ""Wi-Fii"": ""Yox"", ""RAM yuvalarının sayı"": ""4"", ""Maksimum RAM həcmi"": ""128 GB"", ""SATA konnektorlarının ümumi sayı"": ""4"", ""M.2 yuvaların ümumi sayı"": ""4"", ""PCI-E x16 yuvalarının sayı"": ""2"", ""PCI-E x1 yuvalarının sayı"": ""2"", ""Arxa paneldəki USB konnektorlarının sayı"": ""8"", ""Cıxışlar (arxa panel)"": ""-"", ""Dəstəklənən prosessorlar"": ""Intel 12th/13th Gen Core"", ""Çıxışlar (arxa panel)"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t112024.826.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t112109.656.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t112121.037.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t112133.100.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t112041.865.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/n/e/new_project_-_2023-04-06t112056.287.png,2025-10-31 22:23:45
