sku,is_added,is_updated,category,cost_price,brand,type,attributes,is_main_product,main_product,slug,tags,name,color,image,more_images,description,size,price,discount_type,discount_value,pack_size,tax,max_quantity,stock_count,variant_status,status,is_stock,is_discount,is_hot,is_best,is_most,intrastat
SKU:TM-DG-ACS-1109-AP-0327,1,`,`,159.99,Apple,`,"Brend:Apple;Girişlər:USB Type-C;Güc:35 Vt;Uyğunluq:Apple Watch, MacBook, iPhone, iPad;Komplektasiya:Adapter;Rəng:Ağ;Amper:3 А",0,`,adapter-apple-35w-dual-usb-c-power-a2676-mw2k3zma,#Apple,Adapter Apple 35W Dual USB-C Power A2676 / MW2K3ZM/A,Ağ,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/76fb9b20-88b3-49ad-9877-489f3d66c700/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/76fb9b20-88b3-49ad-9877-489f3d66c700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/ce737fac-39be-4307-8816-6290c699fb00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3530aa23-60e7-45d2-4dbb-1fa59be97b00/w=auto,q=auto,f=auto",Adapter Apple 35W Dual USB-C Power A2676 / MW2K3ZM/A,,164.99,`,5.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-CL-0007,1,`,`,209.99,Apple,`,Brend:Apple;Girişlərin sayı:1;Uyğunluq:-;Uyğun brendlər:-;Enerji gücü:-;Zəmanət:12 ay,0,`,apple-96w-usb-c-adapter-mx0j2zmamw2l3zma,#Apple,Apple 96W USB-C Adapter MX0J2ZM/A/MW2L3ZM/A,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/8d5c771e-165f-4fb7-ee10-16c99aa13500/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/8d5c771e-165f-4fb7-ee10-16c99aa13500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7a4835b5-7302-41c0-5d76-35f6bbcc4500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e14d04b2-818b-497d-229b-00ceb063d700/w=auto,q=auto,f=auto",Apple 96W USB-C Adapter MX0J2ZM/A/MW2L3ZM/A,,249.99,`,40.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-CL-0021,1,`,`,253.99,Apple,`,"Brend:Apple;Girişlərin sayı:1;Uyğunluq:MacBook Pro, MacBook Air;Uyğun brendlər:Apple;Enerji gücü:140 Vt;Zəmanət:12 ay",0,`,apple-140w-usb-c-power-adapter-mlyu3zmamw2m3zma,#Apple,APPLE 140W USB-C POWER ADAPTER MLYU3ZM/A/MW2M3ZM/A,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7dafa001-d92d-425d-03a8-a844b904c100/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7dafa001-d92d-425d-03a8-a844b904c100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/92f6bd12-2477-4320-2eb0-a18450ecda00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b80c294e-68e6-4688-69c6-6fa5cd99a800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/28953b6b-dfe6-40a5-83c1-766bfbada600/w=auto,q=auto,f=auto",APPLE 140W USB-C POWER ADAPTER MLYU3ZM/A/MW2M3ZM/A,,309.99,`,56.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AP-0004,1,`,`,59.989999999999995,Apple,`,"Brend:Apple;Girişlər:USB Type-C;Güc:20 Vt;Uyğunluq:iPhone, iPad;Komplektasiya:Adapter;Rəng:Ağ;Amper:2.2 A",0,`,adapter-apple-20w-usb-c-mhje3zma-muvv3zma-md3j4zma,#Apple,Adapter Apple 20W USB-C MHJE3ZM/A / MUVV3ZM/A / MD3J4ZM/A,Ağ,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/6da9a01f-b82c-4fe5-cf89-d1415a5eff00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/6da9a01f-b82c-4fe5-cf89-d1415a5eff00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/80b99512-07e1-4d46-5ef4-448143fc6400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1e642512-465c-4ad2-1382-0aee238ad400/w=auto,q=auto,f=auto",Adapter Apple 20W USB-C MHJE3ZM/A / MUVV3ZM/A / MD3J4ZM/A,,69.99,`,10.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0060,1,`,`,19.989999999999995,Apple,`,Brend:Apple;Material:Flüoroelastomer;Növ:Kəmər;Uyğunluq:Apple Watch;Rəng:Black Unity;Korpusun ölçüsü:40 mm,0,`,kəmər-apple-black-unity-sport-band-ml-muq63zma,#Apple,Kəmər Apple Black Unity Sport Band M/L / MUQ63ZM/A,Black Unity,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/bbf7c80c-5cce-4702-578c-42ccf111e200/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/bbf7c80c-5cce-4702-578c-42ccf111e200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4a8ce3d5-7feb-4c3b-5dbc-871bdfec8200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/70ccf3b7-94a0-4072-eae0-7c32428ade00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/23025be2-1847-4724-3e40-3ce151c62f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/49afd586-da71-4b2d-f896-aae3d12c3f00/w=auto,q=auto,f=auto",Kəmər Apple Black Unity Sport Band M/L / MUQ63ZM/A,,79.99,`,60.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0085,1,`,`,39.99000000000001,Apple,`,Brend:Apple;Material:Polyester;Növ:Kəmər;Uyğunluq:Apple Watch;Rəng:Taupe;Korpusun ölçüsü:41 mm,0,`,kəmər-apple-taupe-magnetic-link-mtj83zma,#Apple,Kəmər Apple Taupe Magnetic Link / MTJ83ZM/A,Taupe,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c8efa3dd-0549-4705-1417-1fa32ce21800/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c8efa3dd-0549-4705-1417-1fa32ce21800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/adfdad91-67a1-448a-16ad-b16f41c88f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/2cfcc70c-ec4f-4489-114d-faac27f34800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e70d02a4-6446-4cbe-3b23-a7b34eff9300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/cd9bf064-c81c-47e4-9b59-a42741d4ec00/w=auto,q=auto,f=auto",Kəmər Apple Taupe Magnetic Link / MTJ83ZM/A,,159.99,`,120.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0065,1,`,`,19.989999999999995,Apple,`,Brend:Apple;Material:Flüoroelastomer;Növ:Kəmər;Uyğunluq:Apple Watch;Rəng:Blue Flame;Korpusun ölçüsü:41 mm,0,`,kəmər-apple-blue-flame-nike-sport-band-ml-muuu3zma,#Apple,Kəmər Apple Blue Flame Nike Sport Band M/L / MUUU3ZM/A,Blue Flame,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c46d2000-23f6-4148-eb0c-796877f59700/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c46d2000-23f6-4148-eb0c-796877f59700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c2b35076-50cb-473f-b311-56e579a45000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/60102560-95b9-4d65-bc2a-35497da4a000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/17053754-9325-443e-7925-e59359c5e600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4c90eaea-d59f-44aa-dc3c-454e20c2de00/w=auto,q=auto,f=auto",Kəmər Apple Blue Flame Nike Sport Band M/L / MUUU3ZM/A,,79.99,`,60.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0064,1,`,`,19.989999999999995,Apple,`,Brend:Apple;Material:Flüoroelastomer;Növ:Kəmər;Uyğunluq:Apple Watch;Rəng:Cargo Khani;Korpusun ölçüsü:41 mm,0,`,kəmər-apple-cargo-khaki-nike-sport-band-ml-muuw3zma,#Apple,Kəmər Apple Cargo Khaki Nike Sport Band M/L / MUUW3ZM/A,Cargo Khani,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5152d715-6616-43c5-82d1-1f9b86480900/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5152d715-6616-43c5-82d1-1f9b86480900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/02d0c9ec-b873-4c1a-a273-2cbe2c7aaf00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/93563be0-03a1-4e21-b111-fa78e9720000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0fce1daa-85bb-47ee-be5c-8766d243e600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/767f9c1d-b83f-4668-df85-af0d55e51100/w=auto,q=auto,f=auto",Kəmər Apple Cargo Khaki Nike Sport Band M/L / MUUW3ZM/A,,79.99,`,60.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0081,1,`,`,19.989999999999995,Apple,`,Brend:Apple;Material:Silikon;Növ:Kəmər;Uyğunluq:Apple Watch;Rəng:Clay;Korpusun ölçüsü:41 mm,0,`,kəmər-apple-clay-sport-band-ml-mt3a3zma,#Apple,Kəmər Apple Clay Sport Band M/L / MT3A3ZM/A,Clay,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9734d6df-cd99-4a02-0ab0-cc282d6b9c00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9734d6df-cd99-4a02-0ab0-cc282d6b9c00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/d0b2f21c-2d22-47a4-de23-885fa0a7c000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a5e0a0f8-e6a4-4045-33c5-9d4cf8ba8300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3fa371b0-1815-4e8d-12ef-df5b3e11a200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f8ad7324-dc9e-47fd-a90d-970b5ff70500/w=auto,q=auto,f=auto",Kəmər Apple Clay Sport Band M/L / MT3A3ZM/A,,79.99,`,60.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0066,1,`,`,19.989999999999995,Apple,`,Brend:Apple;Material:Flüoroelastomer;Növ:Kəmər;Uyğunluq:Apple Watch;Rəng:Magic Ember;Korpusun ölçüsü:41 mm,0,`,kəmər-apple-magic-ember-nike-sport-band-ml-muuy3zma,#Apple,Kəmər Apple Magic Ember Nike Sport Band M/L / MUUY3ZM/A,Magic Ember,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7fe0979d-d344-4386-87eb-999badf43d00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7fe0979d-d344-4386-87eb-999badf43d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a81a19bd-8ba0-49bc-bf7c-859134bf4200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3cdf42aa-0f7e-4edb-c565-06f98e9c8600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/df857ea3-8697-4a92-8eac-665e010e9d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/ade3ed45-8b6e-4f2f-a3b7-76ccc473a300/w=auto,q=auto,f=auto",Kəmər Apple Magic Ember Nike Sport Band M/L / MUUY3ZM/A,,79.99,`,60.0,`,`,5,50,1,1,1,1,0,0,0,`
