url,title,sku,brand,category,price,discount,availability,specifications,images,scraped_at
https://kontakt.az/adapter-apple-35w-dual-usb-c-power-a2676-mw2k3zm-a,Adapter Apple 35W Dual USB-C Power A2676 / MW2K3ZM/A,SKU:TM-DG-ACS-1109-AP-0327,Apple,,164.99,5,In Stock,"{""Brend"": ""Apple"", ""Girişlər"": ""USB Type-C"", ""Güc"": ""35 Vt"", ""Uyğunluq"": ""Apple Watch, MacBook, iPhone, iPad"", ""Komplektasiya"": ""Adapter"", ""Rəng"": ""Ağ"", ""Amper"": ""3 А""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-ap-0327_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-ap-0327_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-ap-0327_10.png,2025-10-29T16:29:29.592973
https://kontakt.az/adapter-apple-30w-usb-c-power-a2164-mw2g3zm-a,Adapter Apple 30W USB-C Power A2164 / MW2G3ZM/A,SKU:TM-DG-ACS-1109-AP-0326,Apple,,119.99,30,Pre-order / Out of Stock,"{""Brend"": ""Apple"", ""Girişlər"": ""USB Type-C"", ""Güc"": ""30 Vt"", ""Uyğunluq"": ""MacBook Air, iPhone, iPad Pro"", ""Komplektasiya"": ""Adapter"", ""Rəng"": ""Ağ"", ""Amper"": ""3 А""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-ap-0326_1.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-ap-0326_2.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1109-ap-0326_8.png,2025-10-29T16:29:30.419127
