sku,is_added,is_updated,category,cost_price,brand,type,attributes,is_main_product,main_product,slug,tags,name,color,image,more_images,description,size,price,discount_type,discount_value,pack_size,tax,max_quantity,stock_count,variant_status,status,is_stock,is_discount,is_hot,is_best,is_most,intrastat
SKU:TM-DG-KOT-1114-MB-0031,1,`,`,149.99,`,`,Brend:Asus;Növ:ATX;Wi-Fii:Yox;RAM yuvalarının sayı:2;Maksimum RAM həcmi:64 GB;SATA konnektorlarının ümumi sayı:4;M.2 yuvaların ümumi sayı:1;PCI-E x16 yuvalarının sayı:1;PCI-E x1 yuvalarının sayı:1;Arxa paneldəki USB konnektorlarının sayı:6;Cıxışlar (arxa panel):-;Dəstəklənən prosessorlar:Intel 11th Gen Core/10th Gen Core/Pentium/Celeron;Çıxışlar (arxa panel):-,0,`,asus-h510m-d-intel-lga-1200,,Asus H510M-D INTEL LGA 1200,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f4062fc7-dd48-4271-88db-e54cd3967b00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f4062fc7-dd48-4271-88db-e54cd3967b00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9e46d931-3af3-4928-9945-0dec2bb02f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/15a731db-5dbe-443e-ca51-d39346a50c00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f28a2fc5-7ace-40f1-03bb-7a03d42b2600/w=auto,q=auto,f=auto",Asus H510M-D INTEL LGA 1200,,169.99,`,20.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-KOT-1114-MB-0046,1,`,`,529.99,`,`,Brend:Asus;Növ:ATX;Wi-Fii:Yox;RAM yuvalarının sayı:4;Maksimum RAM həcmi:192 GB;SATA konnektorlarının ümumi sayı:4;M.2 yuvaların ümumi sayı:4;PCI-E x16 yuvalarının sayı:1;PCI-E x1 yuvalarının sayı:2;Arxa paneldəki USB konnektorlarının sayı:8;Cıxışlar (arxa panel):-;Dəstəklənən prosessorlar:Intel 13th/12th Gen Core/Pentium Gold/Celeron;Çıxışlar (arxa panel):-,0,`,asus-prime-z690-a-intel-lga-1700,,Asus Prime  Z690-A Intel LGA 1700,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3d3f53bf-d201-4fee-91f1-4f40184cad00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3d3f53bf-d201-4fee-91f1-4f40184cad00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/d367efa5-7deb-49e0-8529-a3b636e8de00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f0c6952a-9278-4bb7-581e-879a05aa0300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3dfb8b12-4b77-4a8a-650a-cd366ccc3b00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0c09ff69-835d-4ffc-6235-ba225a6c5700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/667254da-7ae4-4674-74f4-13cf433eb700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b27a7c73-30d0-438a-16b9-d37891621c00/w=auto,q=auto,f=auto",Asus Prime  Z690-A Intel LGA 1700,,609.99,`,80.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-KOT-1114-MB-0049,1,`,`,399.99,`,`,Brend:Asus;Növ:ATX;Wi-Fii:Yox;RAM yuvalarının sayı:4;Maksimum RAM həcmi:128 GB;SATA konnektorlarının ümumi sayı:4;M.2 yuvaların ümumi sayı:3;PCI-E x16 yuvalarının sayı:3;PCI-E x1 yuvalarının sayı:1;Arxa paneldəki USB konnektorlarının sayı:6;Cıxışlar (arxa panel):-;Dəstəklənən prosessorlar:Intel 13th/12th Gen Core/Pentium Gold/Celeron;Çıxışlar (arxa panel):-,0,`,asus-prime-z690-p-d4-intel-lga-1700,,Asus Prime Z690-P D4 Intel LGA 1700,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e3ee079f-4a1c-4ca8-ec0c-bf5305a5c800/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e3ee079f-4a1c-4ca8-ec0c-bf5305a5c800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/12c9d4e4-9af6-4417-9f9f-d99eba22d400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7418f239-4182-4bc8-bb7b-b5b2f3278500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/77d1e65d-55fd-466d-6493-db0b3e5ac900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/51ba1c00-d7a4-48a0-8c68-09a13127b700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/13b1fff6-29da-41a7-7dc8-2f81bf262500/w=auto,q=auto,f=auto",Asus Prime Z690-P D4 Intel LGA 1700,,449.99,`,50.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-KOT-1114-MB-0048,1,`,`,519.99,`,`,Brend:Asus;Növ:ATX;Wi-Fii:Yox;RAM yuvalarının sayı:4;Maksimum RAM həcmi:128 GB;SATA konnektorlarının ümumi sayı:4;M.2 yuvaların ümumi sayı:3;PCI-E x16 yuvalarının sayı:3;PCI-E x1 yuvalarının sayı:1;Arxa paneldəki USB konnektorlarının sayı:6;Cıxışlar (arxa panel):-;Dəstəklənən prosessorlar:Intel 13th/12th Gen Core/Pentium Gold/Celeron;Çıxışlar (arxa panel):-,0,`,asus-prime-z690-p-intel-lga-1700,,Asus Prime Z690-P Intel LGA 1700,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1fe58e7d-f4e3-4849-d2db-3fba23652b00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1fe58e7d-f4e3-4849-d2db-3fba23652b00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/db5e2fc6-63a1-4307-ef38-e6601d455100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5f501123-2f05-4a15-d8b9-d3782e1a8d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e7a92ceb-865e-4c12-6b1e-743d733ce300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1d2761b5-f549-4776-249f-7420e70c6600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/aea6004b-ea31-4875-12ac-9d8ec33d0000/w=auto,q=auto,f=auto",Asus Prime Z690-P Intel LGA 1700,,579.99,`,60.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-KOT-1114-MB-0050,1,`,`,529.99,`,`,Brend:Asus;Növ:ATX;Wi-Fii:Var;RAM yuvalarının sayı:4;Maksimum RAM həcmi:128 GB;SATA konnektorlarının ümumi sayı:4;M.2 yuvaların ümumi sayı:3;PCI-E x16 yuvalarının sayı:4;PCI-E x1 yuvalarının sayı:1;Arxa paneldəki USB konnektorlarının sayı:6;Cıxışlar (arxa panel):-;Dəstəklənən prosessorlar:Intel 13th/12th Gen Core/Pentium Gold/Celeron;Çıxışlar (arxa panel):-,0,`,asus-prime-z690-p-wi-fi-intel-lga-1700,,Asus Prime Z690-P Wi-Fi Intel LGA 1700,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/72a1d9ed-10e1-4098-d49f-b1388d20b300/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/72a1d9ed-10e1-4098-d49f-b1388d20b300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e1ace74b-1eab-4145-1c38-75268e459100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/42441fcd-2460-4945-f464-8115593d3c00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/30621de4-6400-454b-4697-7defe3375500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/650e9ce2-2563-4b97-bf71-44a5f83eb800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/dd82382d-0208-4bfb-a79d-959c321c8000/w=auto,q=auto,f=auto",Asus Prime Z690-P Wi-Fi Intel LGA 1700,,599.99,`,70.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3213,1,`,`,1899.9899999999998,`,`,"Brend:Asus;Daxili yaddaş:256 GB;Operativ yaddaş:12 GB;Əsas kamera:50 MP + 13 MP + 5 MP;Ön kamera:32 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 8 Elite Mobile;Displey növü:LTPO AMOLED;Simsiz enerji:Var;İnfraqırmızı port:Yox;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP68;Görüntü imkanı:2400 × 1080;Ölçülər:163.8 × 77 × 8.9 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Var;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:8K / 4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:8K - 720p, 30-480 kadr/s;Video asta çəkiliş:Var;Rəng:Phantom Black;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:65 Vt;Batareyanın həcmi:5800 mAh;İstehsal ili:2024;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Alüminium və şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, SIM kart yuvası açarı, Məlumat kitabçası, Qoruyucu örtük;Seriya:Asus ROG 9;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.78""",0,`,asus-rog-9-12256-gb-phantom-black,#256GB,Asus ROG 9 12/256 GB Phantom Black,Phantom Black,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a94f89c7-0266-418b-f549-d8106c1ea800/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a94f89c7-0266-418b-f549-d8106c1ea800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c2c8d00b-4244-4131-252d-426c36a67900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9efd91a8-8ab1-48c6-af00-6a0362800700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/46a5c16a-0cb8-48fe-9d7b-8bda87e61e00/w=auto,q=auto,f=auto",Asus ROG 9 12/256 GB Phantom Black,256 GB,2299.99,`,400.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-KC-0005,1,`,`,49.99,`,`,"Brend:-;Dil:ENG, RU, UA;Keykap sayı:108 əd;Material:PBT;Keykap profili:OEM, Puddings;Divarların eni:1.5 mm;Düzülüş:ANSI;Bərkidilmə üsulu:MX;Stabilizatorlarla uyğunluq:OEM;Rəng:Qara;Xüsusiyyətlər:Keykap dəsti ANSI düzülüşü və MX bərkidilmə növü olan bütün növ klaviaturalarla uyğundur;İstehsal texnologiyası:Double shot",0,`,keykap-dəsti-asus-rog-pbt-ac03-90mp0280-baua00,,Keykap dəsti Asus ROG PBT AC03 / 90MP0280-BAUA00,Qara,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/d5a1e08a-6214-421e-38eb-4416b0c1eb00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/d5a1e08a-6214-421e-38eb-4416b0c1eb00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/7a4e5f97-4b31-43f4-2a17-b72b8db4c200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/ac47f6d0-2efe-4134-a178-f73639127d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3c7626ea-4ad2-4072-d2fe-bef1963d0500/w=auto,q=auto,f=auto",Keykap dəsti Asus ROG PBT AC03 / 90MP0280-BAUA00,,59.99,`,10.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-KOT-1114-PC-0092,1,`,`,4799.99,`,`,"Brend:Asus;Model:ROG Strix GA15;Videokartın həcmi:8 GB;Wi-Fii:Var;HDMI:1x HDMI 2.0;Rəng:Qara;Ölçülər (H × E × D):-;Operativ yaddaşın maksimal həcmi:32 GB;Qidalandırıcı blok:-;DisplayPort:1x DisplayPort 1.4;USB (arxa tərəf):-;USB (ön tərəf):1х USB 3.2 Gen 1 Type-C, 1х 3.2 Gen 1 Type-A;Növ:Oyun;Prosessori:Ryzen 7;Prosessorun kodu:5800X;Prosessorun takt tezliyi:-;Operativ yaddaş:32 GB;HDD:-;SSD:1 TB;Videokartın növü:Xarici Nvidia;Videokartın cipseti:-;Əməliyyat sistemi:-;Zəmanət:12 ay",0,`,asus-rog-strix-ga15-g15dk-r5800x2080-90pf02q1-m010m0,,Asus ROG Strix GA15 G15DK-R5800X2080 (90PF02Q1-M010M0),Qara,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/27ead9f1-963f-4ec9-028a-6ab5cd4d4400/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/27ead9f1-963f-4ec9-028a-6ab5cd4d4400/w=auto,q=auto,f=auto",Asus ROG Strix GA15 G15DK-R5800X2080 (90PF02Q1-M010M0),,5089.99,`,290.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-KOT-1114-MB-0054,1,`,`,439.99,`,`,Brend:Asus;Növ:microATX;Wi-Fii:Var;RAM yuvalarının sayı:4;Maksimum RAM həcmi:128 GB;SATA konnektorlarının ümumi sayı:4;M.2 yuvaların ümumi sayı:2;PCI-E x16 yuvalarının sayı:2;PCI-E x1 yuvalarının sayı:1;Arxa paneldəki USB konnektorlarının sayı:8;Cıxışlar (arxa panel):-;Dəstəklənən prosessorlar:Intel 12th Gen Core/Pentium Gold/Celeron;Çıxışlar (arxa panel):-,0,`,asus-tuf-gaming-b660m-plus-wi-fi-intel-lga-1700,#PLUS,Asus TUF Gaming B660M-PLUS Wi-Fi Intel LGA 1700,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/38c38239-026f-48aa-1127-765c6fceae00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/38c38239-026f-48aa-1127-765c6fceae00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/33bbf7a2-f3e0-40d4-5835-a5d7ee8a7400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/39e2e6e4-c47d-453b-a629-8ec597343a00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9a0b177a-0153-4847-25b3-5616f8783800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/25b366d3-6f95-496b-30bf-c4db8ed69300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1f4b2005-d47f-4295-942b-cf22bff48d00/w=auto,q=auto,f=auto",Asus TUF Gaming B660M-PLUS Wi-Fi Intel LGA 1700,,499.99,`,60.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-KOT-1114-MB-0058,1,`,`,569.99,`,`,Brend:Asus;Növ:ATX;Wi-Fii:Yox;RAM yuvalarının sayı:4;Maksimum RAM həcmi:128 GB;SATA konnektorlarının ümumi sayı:4;M.2 yuvaların ümumi sayı:4;PCI-E x16 yuvalarının sayı:2;PCI-E x1 yuvalarının sayı:2;Arxa paneldəki USB konnektorlarının sayı:8;Cıxışlar (arxa panel):-;Dəstəklənən prosessorlar:Intel 12th/13th Gen Core;Çıxışlar (arxa panel):-,0,`,asus-tuf-gaming-z690-plus-d4-intel-lga-1700,#Plus,Asus TUF Gaming Z690-Plus D4 Intel LGA 1700,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/8beb2546-76f2-4059-bbc8-c10d035af800/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/8beb2546-76f2-4059-bbc8-c10d035af800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/60ae28e1-a34a-4f77-6fb8-8c7e9f532400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f90808c8-8a73-4b0d-06ec-e0337d984400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4f4b3e9c-be9f-4118-9a4a-f15f7e448500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f8b087a1-ffd4-4587-be04-3c53464d0900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0c8e67d2-8390-48f2-0b7a-958a7cc4b600/w=auto,q=auto,f=auto",Asus TUF Gaming Z690-Plus D4 Intel LGA 1700,,649.99,`,80.0,`,`,5,50,1,1,1,1,0,0,0,`
