sku,is_added,is_updated,category,cost_price,brand,type,attributes,is_main_product,main_product,slug,tags,name,color,image,more_images,description,size,price,discount_type,discount_value,pack_size,tax,max_quantity,stock_count,variant_status,status,is_stock,is_discount,is_hot,is_best,is_most,intrastat
SKU:TM-DG-SBP-1105-SM-3586,1,`,`,999.99,`,`,"Brend:HONOR;Daxili yaddaş:256 GB;Operativ yaddaş:12 GB;Əsas kamera:200 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 7 Gen 3;Displey növü:AMOLED;Simsiz enerji:Yox;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP66;Görüntü imkanı:1264 × 2736;Ölçülər:156.5 × 74.6 × 7.3 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Yox;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K, 30 kadr/s;Video asta çəkiliş:Var;Rəng:Gold;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.55""",0,`,honor-400-12256-gb-gold,#256GB,HONOR 400 12/256 GB Gold,Gold,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/aea6c5d9-f223-4717-07b6-aae447233b00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/aea6c5d9-f223-4717-07b6-aae447233b00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/bda5af34-85d1-43c2-3e31-2c27b9cef900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/50ec6462-559e-4816-b2a6-a71b850e5e00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a6510e46-a47d-4757-333e-6ad7b4b84400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/61c24790-e764-4940-f80d-5d6f01e23700/w=auto,q=auto,f=auto",HONOR 400 12/256 GB Gold,256 GB,1099.99,`,100,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3589,1,`,`,1099.99,`,`,"Brend:HONOR;Daxili yaddaş:512 GB;Operativ yaddaş:12 GB;Əsas kamera:200 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 7 Gen 3;Displey növü:AMOLED;Simsiz enerji:Yox;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP66;Görüntü imkanı:1264 × 2736;Ölçülər:156.5 × 74.6 × 7.3 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Var;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K, 30 kadr/s;Video asta çəkiliş:Var;Rəng:Gold;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.55""",0,`,honor-400-12512-gb-gold,#512GB,HONOR 400 12/512 GB Gold,Gold,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/143f5f6c-57e5-4004-b5b1-b33795e6c000/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/143f5f6c-57e5-4004-b5b1-b33795e6c000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/cc4b93de-f11e-484a-368c-a03527e2e200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/30a8ef54-7d11-4d39-b7a4-7aba454ae600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/897f1355-1d8e-4668-622e-db500d89fb00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/cd4e4635-a3f1-4f7f-661d-185606f59c00/w=auto,q=auto,f=auto",HONOR 400 12/512 GB Gold,512 GB,1199.99,`,100,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3590,1,`,`,1099.99,`,`,"Brend:HONOR;Daxili yaddaş:512 GB;Operativ yaddaş:12 GB;Əsas kamera:200 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 7 Gen 3;Displey növü:AMOLED;Simsiz enerji:Yox;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP66;Görüntü imkanı:1264 × 2736;Ölçülər:156.5 × 74.6 × 7.3 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Var;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K, 30 kadr/s;Video asta çəkiliş:Var;Rəng:Meteor Silver;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.55""",0,`,honor-400-12512-gb-meteor-silver,#512GB,HONOR 400 12/512 GB Meteor Silver,Meteor Silver,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b12a3556-b872-4744-4b4e-1e1e6a0c3800/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b12a3556-b872-4744-4b4e-1e1e6a0c3800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4b6ef75c-b21d-4d48-a2f9-8c577f443400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/97ed71c0-18f7-4d9d-a733-d94d8c6e6f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/78fdcf63-a2ad-4433-0813-150c162de300/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/91dd0962-3aee-4f75-b237-4f8f93381100/w=auto,q=auto,f=auto",HONOR 400 12/512 GB Meteor Silver,512 GB,1199.99,`,100,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3582,1,`,`,899.99,`,`,"Brend:HONOR;Daxili yaddaş:256 GB;Operativ yaddaş:8 GB;Əsas kamera:200 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 7 Gen 3;Displey növü:AMOLED;Simsiz enerji:Yox;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP66;Görüntü imkanı:1264 × 2736;Ölçülər:156.5 × 74.6 × 7.3 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Yox;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K, 30 kadr/s;Video asta çəkiliş:Var;Rəng:Black;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.55""",0,`,honor-400-8256-gb-black,#256GB,HONOR 400 8/256 GB Black,Black,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5861b285-fbf4-4b57-626d-0aa07c9a3c00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5861b285-fbf4-4b57-626d-0aa07c9a3c00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c4cedc86-a5b8-4a7c-e777-0bd6c69ab400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/087aca68-5343-47e2-7b66-84f29b60c700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/eb50e55c-d9aa-4214-61c7-300a9fa2c500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/761f4a03-550d-42f5-4e25-983d44891b00/w=auto,q=auto,f=auto",HONOR 400 8/256 GB Black,256 GB,999.99,`,100,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3583,1,`,`,899.99,`,`,"Brend:HONOR;Daxili yaddaş:256 GB;Operativ yaddaş:8 GB;Əsas kamera:200 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 7 Gen 3;Displey növü:AMOLED;Simsiz enerji:Yox;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP66;Görüntü imkanı:1264 × 2736;Ölçülər:156.5 × 74.6 × 7.3 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Yox;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K, 30 kadr/s;Video asta çəkiliş:Var;Rəng:Gold;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.55""",0,`,honor-400-8256-gb-gold,#256GB,HONOR 400 8/256 GB Gold,Gold,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a247bd84-5581-4410-8e1a-a068ddd5e900/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/a247bd84-5581-4410-8e1a-a068ddd5e900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b39581f9-ed08-475a-0573-636596262800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e1436aad-6969-4312-7e9f-7809c3bf1b00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4f36628d-cb7c-4ee1-680a-1f0de9725000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1426065b-da6b-4b0b-1626-e223250ce400/w=auto,q=auto,f=auto",HONOR 400 8/256 GB Gold,256 GB,999.99,`,100,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3584,1,`,`,899.99,`,`,"Brend:HONOR;Daxili yaddaş:256 GB;Operativ yaddaş:8 GB;Əsas kamera:200 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 7 Gen 3;Displey növü:AMOLED;Simsiz enerji:Yox;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP66;Görüntü imkanı:1264 × 2736;Ölçülər:156.5 × 74.6 × 7.3 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Yox;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K, 30 kadr/s;Video asta çəkiliş:Var;Rəng:Meteor Silver;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.55""",0,`,honor-400-8256-gb-meteor-silver,#256GB,HONOR 400 8/256 GB Meteor Silver,Meteor Silver,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3dbaa743-3e43-4a3e-2265-967a3b44b700/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3dbaa743-3e43-4a3e-2265-967a3b44b700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5569467e-1b1b-48c2-817a-3a1510a0ce00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/2375e6f6-a093-430c-e661-fb6a043ef600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/c6931c69-6cbc-4d04-1c5d-5bac333bd800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9176d369-eba9-4663-b156-1829ce625100/w=auto,q=auto,f=auto",HONOR 400 8/256 GB Meteor Silver,256 GB,999.99,`,100,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3538,1,`,`,629.99,`,`,"Brend:HONOR;Daxili yaddaş:256 GB;Operativ yaddaş:8 GB;Əsas kamera:108 MP + 5 MP;Ön kamera:16 MP;Nüvə sayı:8;SIM-kart növü:Dual SIM;SIM-kart sayı:2;Prosessorun adı:MediaTek;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:MediaTek Dimensity 7025 Ultra;Displey növü:AMOLED;Simsiz enerji:Yox;İnfraqırmızı port:Yox;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP65;Görüntü imkanı:1080 × 2412;Ölçülər:161 × 74.6 × 7.3 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Yox;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Yox;Video formatı:1080p;Bluetooth versiyası:5.3;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:1080p, 30 kadr/s;Video asta çəkiliş:Var;Rəng:Black;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:35 Vt;Batareyanın həcmi:5230 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Plastik;Komplektasiya:Smartfon, şarj cihazı, USB Type-C kabeli, SIM kart yuvası açarı, məlumat kitabçası;Seriya:HONOR 400;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.7""",0,`,honor-400-lite-8256-gb-black,#256GB,HONOR 400 Lite 8/256 GB Black,Black,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5718e069-0552-4123-f8fd-7a56b5025600/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5718e069-0552-4123-f8fd-7a56b5025600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/6d616ab9-f486-43f6-1831-62fa86ae6200/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/223bebe4-b936-44a1-56f9-7527860d3600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f328abbf-dc41-460f-c641-72047b3a8700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/caa1b5e0-e982-4cd7-ed4d-a8f487850700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b166a62c-4b9c-4d9e-4b7f-9960f4efaf00/w=auto,q=auto,f=auto",HONOR 400 Lite 8/256 GB Black,256 GB,699.99,`,70,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3581,1,`,`,1449.99,`,`,"Brend:HONOR;Daxili yaddaş:512 GB;Operativ yaddaş:12 GB;Əsas kamera:200 MP + 50 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 8 Gen 3;Displey növü:AMOLED;Simsiz enerji:Var;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP69;Görüntü imkanı:2800 × 1280;Ölçülər:160.8 × 76.1 × 8.1 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Var;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K-720p, 30-60 kadr/s;Video asta çəkiliş:Var;Rəng:Black;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400 Pro;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.7""",0,`,honor-400-pro-12512-gb-black,#512GB,HONOR 400 Pro 12/512 GB Black,Black,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/092e3861-857d-4980-7676-3e43ce61e000/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/092e3861-857d-4980-7676-3e43ce61e000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f732a69e-abee-4c1a-9f2f-6adc32157f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/987f4eb3-69b8-42be-7046-d48567fb7d00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/5b6008a5-8623-4ae8-73fd-d3e787c72600/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/185fdcbf-cf0d-438b-8ca3-60f2610d3200/w=auto,q=auto,f=auto",HONOR 400 Pro 12/512 GB Black,512 GB,1599.99,`,150,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SBP-1105-SM-3577,1,`,`,1449.99,`,`,"Brend:HONOR;Daxili yaddaş:512 GB;Operativ yaddaş:12 GB;Əsas kamera:200 MP + 50 MP + 12 MP;Ön kamera:50 MP;Nüvə sayı:8;SIM-kart növü:Nano SIM + eSIM;SIM-kart sayı:2;Prosessorun adı:Qualcomm;Əməliyyat sistemi:Android;Əməliyyat sistemin versiyası:Android 15;NFC:Var;Prosessorun növü:Qualcomm Snapdragon 8 Gen 3;Displey növü:AMOLED;Simsiz enerji:Var;İnfraqırmızı port:Var;Üz tanıma:Var;Sürətli enerji yığma:Var;Qorunma dərəcəsi:IP69;Görüntü imkanı:2800 × 1280;Ölçülər:160.8 × 76.1 × 8.1 mm;Yaddaş kartı dəstəyi:Yox;Barometr:Yox;Giroskop:Var;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Optik sabitləşmə:Var;Video formatı:4K / 1080p / 720p;Bluetooth versiyası:5.4;Avtofokus əsas kamera:Var;Video icazəsi və kadr tezliyi:4K-720p, 30-60 kadr/s;Video asta çəkiliş:Var;Rəng:Grey;Enerji toplama növü:USB Type-C;Qulaqlıq interfeysi:USB Type-C;Batareya növü:Li-Po;Çıxarıla bilən batareya:Yox;Akselerometr:Var;Enerji yığma gücü:100 Vt;Batareyanın həcmi:6000 mAh;İstehsal ili:2025;Barmaq izi oxuyucusu:Displeydə;Korpusun materiali:Şüşə;Komplektasiya:Smartfon, Şarj cihazı, USB Type-C kabeli, Qoruyucu örtük, Məlumat kitabçası;Seriya:HONOR 400 Pro;Zəmanət:12 ay;Şəbəkə standartı:5G;Ekran:6.7""",0,`,honor-400-pro-12512-gb-grey,#512GB,HONOR 400 Pro 12/512 GB Grey,Grey,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9b7ee269-0c85-40e6-3d8f-a1d60f173e00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9b7ee269-0c85-40e6-3d8f-a1d60f173e00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/67cfda65-9dc3-408e-fe89-4f1990038900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0aaf28cf-aede-4dad-4978-5ea1a675dd00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/65671d05-1e1f-446d-b9f9-f52d23604500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e1dbb8ad-3d61-44c8-38e2-7d388183a200/w=auto,q=auto,f=auto",HONOR 400 Pro 12/512 GB Grey,512 GB,1599.99,`,150,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-SMW-1106-SW-0604,1,`,`,89.99,`,`,"Ekran:1.85"", AMOLED;Prosessori:-;Simsiz qoşulma:Bluetooth v5.3;NFC:Yox;Qorunma dərəcəsi:IP68;Əməliyyat sistemi:Proprietary OS;Əməliyyat sisteminin uyğunluğu:iOS, Android;Daxili yaddaş:16 MB;Rəng:White;Korpusun materiali:Plastik;Kəmərin materialı:Silikon;Korpusun ölçüsü:49 mm;Korpusun forması:Düzbucaq;Çıxarılan kəmər:Var;Akkumulyatorun həcmi:330 mAh;Enerji toplama müddəti:1.5 saatadək;Sensorlar:Akselerometr, giroskop, işıq sensoru, ürək döyüntüsü sensoru, qanda oksigen səviyyəsi sensoru;İşləmə müddəti:288 saatadək;Simsiz enerji:Yox;Brend:HONOR;Zəmanət:6 ay",0,`,smart-saat-honor-choice-watch-2i-kch-wb01-white,,Smart saat HONOR Choice Watch 2i KCH-WB01 White,White,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/2f5e011d-f2c6-43cd-e700-c56bf6b41000/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/2f5e011d-f2c6-43cd-e700-c56bf6b41000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/1ea9925d-bffc-4949-f031-2c7eb9d94b00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/aec525cb-5e26-4efa-ea81-2b249c44c100/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/107ddf31-e414-4ca4-04ca-9defe21fb800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4ec27bfe-b5ff-478f-686f-62dabfb8bd00/w=auto,q=auto,f=auto",Smart saat HONOR Choice Watch 2i KCH-WB01 White,16 MB,99.99,`,10,`,`,5,50,1,1,1,1,0,0,0,`
