sku,is_added,is_updated,category,cost_price,brand,type,attributes,is_main_product,main_product,slug,tags,name,color,image,more_images,description,size,price,discount_type,discount_value,pack_size,tax,max_quantity,stock_count,variant_status,status,is_stock,is_discount,is_hot,is_best,is_most,intrastat
SKU:TM-DG-TBQ-1105-TB-0695,1,`,`,44.99,Xiaomi,`,"Brend:Xiaomi;Diaqonal:13.5"";Növ:-;Korpusun materiali:Plastik;Stilius:-;Ölçüləri:300 × 214 × 7.2 mm;Ekranın icazəsi:-;Qələm həssaslıq səviyyəsi:1024;Qələmin dəqiqliyi:-;Maksimal qələm oxuma hündürlüyü:-;İş sahəsinin ölçüsü (U × E):300 × 214 mm;Əməliyyat sistemi:Yox;Düymə düşən xəttlərin sayı:5080 lpi;Rəng:Qara;İş sahəsinin formatı:300 × 214 mm;Qələmin əyilmə həssaslığı:Yox;Cavab vermə tezliyi, RPS:-;Bağlantı növü:Yox;Stilus:Var;Oxunmanın sürəti:-;Komplektasiya:-;Avtonom işləmə müddəti:1 il;Düymələrin sayı:Yox;Zəmanət:-",0,`,xiaomi-lcd-writing-tablet-135-mjxhb02wc,#Xiaomi,Xiaomi LCD Writing Tablet 13.5 MJXHB02WC,Qara,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/dc7d3256-922a-41b0-460c-8db92e5b5400/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/dc7d3256-922a-41b0-460c-8db92e5b5400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b2b852a8-754c-4cd7-ab3c-49b671da3400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/d24c3636-9728-4eec-017f-754ea07e9900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/658f09ae-9e33-4680-4267-59a751436500/w=auto,q=auto,f=auto",Xiaomi LCD Writing Tablet 13.5 MJXHB02WC,,49.99,`,5.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0102,1,`,`,39.99,Xiaomi,`,"Brend:Xiaomi;Material:TPU;Növ:Kəmər;Uyğunluq:Xiaomi Smart Band 8 Pro, Redmi Watch 4;Rəng:Orange;Korpusun ölçüsü:-",0,`,kəmər-xiaomi-leather-quick-release-strap-coral-orange-bhr8002gl,#Xiaomi,Kəmər Xiaomi Leather Quick Release Strap Coral Orange BHR8002GL,Orange,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/49412909-19d1-4580-17d0-bc7ae8cef800/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/49412909-19d1-4580-17d0-bc7ae8cef800/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/4dc32638-1f2e-4e1e-7843-0ab9bd37f700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/83b5b412-6bfd-43c7-87a8-3e529e765500/w=auto,q=auto,f=auto",Kəmər Xiaomi Leather Quick Release Strap Coral Orange BHR8002GL,,49.99,`,10.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0103,1,`,`,39.99,Xiaomi,`,"Brend:Xiaomi;Material:Dəri;Növ:Kəmər;Uyğunluq:Xiaomi Smart Band 8 Pro, Redmi Watch 4;Rəng:Cream White;Korpusun ölçüsü:-",0,`,ремень-xiaomi-leather-quick-release-strap-cream-white-bhr8015gl,#Xiaomi,Ремень Xiaomi Leather Quick Release Strap Cream White BHR8015GL,Cream White,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3f9ca96f-a09d-4d51-9e46-1b1d81f88700/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3f9ca96f-a09d-4d51-9e46-1b1d81f88700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/53a4e617-a54e-4ff9-85a8-e49a837bb700/w=auto,q=auto,f=auto",Ремень Xiaomi Leather Quick Release Strap Cream White BHR8015GL,,49.99,`,10.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-AVT-1926-CH-0012,1,`,`,21.99,`,`,Rəng:-,0,`,xiaomi-mi-37w-dual-port-car-charger-gds4147gl,,Xiaomi Mi 37W Dual-Port Car Charger GDS4147GL,-,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/fd1afe37-8481-4fac-12d1-5c5060815a00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/fd1afe37-8481-4fac-12d1-5c5060815a00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/903e2db3-2a95-4888-77cf-010d2505b900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/0b0b1956-c303-43ba-7472-832e024bc400/w=auto,q=auto,f=auto",Xiaomi Mi 37W Dual-Port Car Charger GDS4147GL,,29.99,`,8.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-PHV-1106-SC-0020,1,`,`,99.99000000000001,Xiaomi,`,Brend:Xiaomi;Videokameranın icazəsi:2304 × 1296;Meqapiksellərin sayı:3 MP;Minimal fokus məsafəsi:-;Maksimal görüntü bucağı:101.7°;Wi-Fii:Var;Quraşdırılmış mikrofon:-;Quraşdırlımış dinamik:-;Gecə çəkilişi:-;Quraşdırılmanın növü:Divardan asılan;Enerji sərfiyyatı:-;Rəng:Ağ;Ölçüləri:173 × 70 × 75 mm,0,`,xiaomi-mi-camera-outdoor-aw300-bhr6816eu,#Xiaomi,Xiaomi MI Camera Outdoor AW300 BHR6816EU,Ağ,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b593aef3-befb-454b-af2d-2b9e1eae7400/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b593aef3-befb-454b-af2d-2b9e1eae7400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3a2bdfce-130e-42ba-6576-8a9d93b40700/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/62bff1b1-26a2-40a5-1758-b3bbb6b8fd00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/b2a641d1-42f3-4619-74da-b113df65a000/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e8fe2c66-abf5-4962-a469-fafa5777ee00/w=auto,q=auto,f=auto",Xiaomi MI Camera Outdoor AW300 BHR6816EU,,129.99,`,30.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-AET-1110-SH-0003,1,`,`,29.990000000000002,`,`,Növ:Ağıllı işıq;Brend:-;Material:Plastik;Uyğunluq:-;Qidalanma növü:Batareya;Wi-Fii:Yox;Bluetooth:Yox;İdarəetmə:Avtomatik;Batareyaların növü:3x AA;Giriş gərginliyi:4.5 V;Baxış bucağı:-;Görüntü keyfiyyəti:-;Xüsüsiyyətlər:-;İşləmə rütubəti:0 - 95%;İşləmə temperaturu:-10° / +40°С;Ölçüləri:80 × 62 mm;Güc:0.34 Vt;Yaddaş kartının dəstəklənməsi:-;Displeyin diaqonalı:-;Hərəkət aşkarlanması:-;Gecə çəkiliş məsafəsi:-;Çıxış gərginliyi:-;Rəng:Ağ;Zəmanət:-;İşıqlandırma rəngi:-,0,`,xiaomi-mi-motion-activated-night-light-2,,Xiaomi Mi Motion-Activated Night Light 2,Ağ,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9f28ec4e-cd43-43f9-3719-430e98eb8f00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9f28ec4e-cd43-43f9-3719-430e98eb8f00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9951a2df-16dc-41ea-aa1d-fe996d08da00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/203d027a-ee18-4fa1-8e56-b3ea75fc1400/w=auto,q=auto,f=auto",Xiaomi Mi Motion-Activated Night Light 2,,59.99,`,30.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-TY-0001,1,`,`,149.99,`,`,,0,`,xiaomi-mi-robot-builder-bunny,,Xiaomi Mi Robot Builder Bunny,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/df3c686c-1b4f-420b-a0fd-fc6fdb67ef00/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/df3c686c-1b4f-420b-a0fd-fc6fdb67ef00/w=auto,q=auto,f=auto",Xiaomi Mi Robot Builder Bunny,,199.99,`,50.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-TY-0002,1,`,`,139.99,Xiaomi,`,Brend:Xiaomi;Növ:Konstruktor;Material:Plastik;Uzunluq:32 sm;Eni:9.2 sm;Mövzu:Robot;Miqyas:38 × 32 × 9.2 sm;Yaş həddi:10+;Qablaşdırmanın uzunluğu:320 mm;Qablaşdırmanın eni:95 mm;Qablaşdırmanın hündürlüyü:380 mm;Qablaşdırmada çəki:2500 qr;Hissələrin sayı:1086;Rəngi:Rəngli;Hündürlük:38 sm,0,`,xiaomi-mi-robot-builder-rover,#Xiaomi,Xiaomi Mi Robot Builder Rover,,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/df283871-59a1-4583-19f4-89b7c118f900/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/df283871-59a1-4583-19f4-89b7c118f900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/9774ca5c-56ef-4e3f-18e3-a49a74674a00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f4d1e3a7-61e0-47fd-d61f-9900fa6fa300/w=auto,q=auto,f=auto",Xiaomi Mi Robot Builder Rover,,169.99,`,30.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-ACS-1109-AS-0106,1,`,`,59.989999999999995,Xiaomi,`,"Brend:Xiaomi;Material:Paslanmayan polad;Növ:Kəmər;Uyğunluq:Xiaomi Smart Band 8 Pro, Redmi Watch 4;Rəng:Silver;Korpusun ölçüsü:-",0,`,kəmər-xiaomi-milanese-quick-release-strap-silver-bhr8012gl,#Xiaomi,Kəmər Xiaomi Milanese Quick Release Strap Silver BHR8012GL,Silver,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/016d42c1-a4d3-49a2-9bc8-6f5f808dd400/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/016d42c1-a4d3-49a2-9bc8-6f5f808dd400/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/cc439505-0da7-4ac8-7892-739d9750b900/w=auto,q=auto,f=auto",Kəmər Xiaomi Milanese Quick Release Strap Silver BHR8012GL,,69.99,`,10.0,`,`,5,50,1,1,1,1,0,0,0,`
SKU:TM-DG-TBQ-1105-TB-0801,1,`,`,729.99,Xiaomi,`,"Brend:Xiaomi;Əməliyyat sistemi:Android;Əməliyyat sisteminin versiyası:HyperOS 2.0;Prosessori:Qualcomm Snapdragon 7+ Gen 3;Prosessorun tezliyi:2.8 GHz;Ekranın diaqonalı:11.2"";Ekran görüntüsü:3200 × 2136;Daxili yaddaş:128 GB;Operativ yaddaş:8 GB;Ön kamera:8 MP;Əsas kamera:13 MP;Video keyfiyyəti:1080p;Batareya tutumu:8850 mAh;WiFi standartları:802.11 ax (Wi-Fi 6E);Bluetooth versiyası:5.4;Qorunma dərəcəsi:IP52;Yaddaş kartı dəstəyi:Yox;Displey növü:IPS;Korpusun materiali:Metal;Barmaq izi oxuyucu:Yox;Üz tanıma:Yox;Naviqasiya sistemi:Yox;SIM kartın sayı:Yox;Girişlər:USB Type-C;Nüvə sayı:8;Simsiz rabitə:Wi-Fi və Bluetooth;Buraxılış ili:2025;Şəbəkə:Yox;Komplektasiya:USB-C kabeli, şarj adapteri;Rəng:Blue;SIM kartın növü:Yox;Qrafik prosessor:Adreno 732;Kadr tezliyi (maksimum):30 kadr/s;Fləş:Var;Avtofokus:Var;Optik sabitləşmə:Var;Videonun asta çəkilişi:Yox;Barometr:Yox;Giroskop:Var;İşıq sensoru:Var;Yaxınlaşdırma sensoru:Var;Akselerometr:Var;Qulaqlıq üçün giriş:USB Type-C;Enerji yığma gücü:45 Vt;Sürətli enerji yığma:Var;Ölçülər (H × E × D):251.22 × 173.42 × 6.18 mm;Zəmanət:12 ay",0,`,xiaomi-pad-7-8128-gb-blue,#Xiaomi #128GB,Xiaomi Pad 7 8/128 GB Blue,Blue,"https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/518c251d-4a4a-46ea-9439-9fcfdf65f500/w=auto,q=auto,f=auto","https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/518c251d-4a4a-46ea-9439-9fcfdf65f500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/e9de9040-124a-492a-dd94-9ca778429900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/fef72098-718b-473d-fa35-dec7e7214900/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/f6dd213a-f6d2-479d-7aec-4bf0171e6500/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/463ab3ca-7812-4941-0d57-0ef7b96ceb00/w=auto,q=auto,f=auto;https://imagedelivery.net/6xZ2gdbIq4j34kSGM6PEuA/3e3f1ba6-aeb8-4c66-bda0-885f4f4f7700/w=auto,q=auto,f=auto",Xiaomi Pad 7 8/128 GB Blue,128 GB,829.99,`,100.0,`,`,5,50,1,1,1,1,0,0,0,`
