url,title,sku,brand,category,price,discount,availability,specifications,images,scraped_at
https://kontakt.az/2020-huawei-telefon,2020 Huawei telefon,,,,,,In Stock,,,2025-10-30T18:50:24.242141
https://kontakt.az/2023-huawei-telefon,2023 Huawei telefon,,,,,,In Stock,,,2025-10-30T18:50:36.233746
https://kontakt.az/21d-full-cover-huawei-p-smart-2021,21D Full Cover HUAWEI P Smart 2021,SKU:TM-DG-ACS-1267-PT-0003,,,1,,Pre-order / Out of Stock,"{""Brend"": ""-"", ""Model"": ""HUAWEI P Smart"", ""Material"": ""Şüşə"", ""Uyğun olan brend"": ""HUAWEI""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/f/o/format_webp_1_.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/f/o/format_webp.png,2025-10-30T18:50:51.133202
https://kontakt.az/4d-glass-huawei-p-30-lite-full-black,4D Glass HUAWEI P 30 Lite Full black,SKU:TM-DG-ACS-1267-PT-0115,,,1,,Pre-order / Out of Stock,"{""Brend"": ""4D"", ""Model"": ""HUAWEI P 30 Lite"", ""Material"": ""Şüşə"", ""Uyğun olan brend"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/g/l/glass.png,2025-10-30T18:51:06.786113
https://kontakt.az/4d-glass-huawei-p-smart-2019-full-black,4D Glass HUAWEI P Smart 2019 Full Black,SKU:TM-DG-ACS-1267-PT-0116,,,1,,Pre-order / Out of Stock,"{""Brend"": ""-"", ""Model"": ""HUAWEI P Smart"", ""Material"": ""Şüşə"", ""Uyğun olan brend"": ""HUAWEI""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/g/l/glass_1_.png,2025-10-30T18:51:19.282878
https://kontakt.az/4d-glass-huawei-y5-prime-2019-full-black,4D Glass Huawei Y5 Prime 2019 Full Black,SKU:TM-DG-ACS-1267-PT-0118,,,1,,Pre-order / Out of Stock,"{""Brend"": ""HUAWEI"", ""Model"": ""Huawei Y5 Prime 2019"", ""Material"": ""Şüşə"", ""Uyğun olan brend"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/g/l/glass99.png,2025-10-30T18:51:33.114425
https://kontakt.az/4d-glass-huawei-y9-2019-full-black,4D Glass HUAWEI Y9 2019 Full Black,SKU:TM-DG-ACS-1267-PT-0119,,,1,,Pre-order / Out of Stock,,https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/g/l/gl.png,2025-10-30T18:51:43.925027
https://kontakt.az/akami-clear-case-huawei-nova-9,Qoruyucu örtük Akami HUAWEI Nova 9 Clear,SKU:TM-DG-ACS-1267-KT-1593,,,1,,In Stock,"{""Brend"": ""Akami"", ""Model"": ""HUAWEI Nova 9"", ""Örtüyün materialı"": ""Silikon"", ""Növ"": ""Çexol"", ""Rəng"": ""Şəffaf"", ""MagSafe dəstəyi"": ""Yox"", ""Uyğun olan brend"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/2/9/29225-nakladka-clear-dlya-huawei-nova-9-prozrachnyy-silikon-1_600_1_.png,2025-10-30T18:51:59.165024
https://kontakt.az/akami-clear-case-huawei-nova-9se,Qoruyucu örtük Akami Clear HUAWEI Nova 9SE,SKU:TM-DG-ACS-1267-KT-1595,,,1,,Pre-order / Out of Stock,"{""Brend"": ""Akami"", ""Model"": ""Huawei Nova 9SE"", ""Örtüyün materialı"": ""Silikon, poliuretan"", ""Növ"": ""Çexol"", ""Rəng"": ""Şəffaf"", ""MagSafe dəstəyi"": ""Yox"", ""Uyğun olan brend"": ""-""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/2/9/29657-nakladka-akami-clear-dlya-huawei-nova-9-se-prozrachnyy-silikon-1_600_1__1.png,2025-10-30T18:52:35.378273
https://kontakt.az/akami-clear-case-huawei-nova-y90-black,Qoruyucu örtük Akami HUAWEI Nova Y90 Black,SKU:TM-DG-ACS-1267-KT-1707,,,5.99,1,In Stock,"{""Brend"": ""Akami"", ""Model"": ""HUAWEI Nova Y90"", ""Örtüyün materialı"": ""Silikon"", ""Növ"": ""Çexol"", ""Rəng"": ""Qara"", ""MagSafe dəstəyi"": ""Yox"", ""Uyğun olan brend"": ""HUAWEI""}",https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/b/a/balck_2_.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/t/m/tm-dg-acs-1267-kt-1707_12.png|https://kontakt.az/media/catalog/product/cache/a252e3db3d11365dd1457895056a5f34/b/a/balck_1_.png,2025-10-30T18:52:50.816964
